,Tanggal,RR
467,2020-04-12,34.1
468,2020-04-13,30.5
469,2020-04-14,57.0
470,2020-04-15,5.923071528751754
471,2020-04-16,0.0
472,2020-04-17,12.5
473,2020-04-18,0.5
474,2020-04-19,6.5
475,2020-04-20,22.5
476,2020-04-21,6.5
477,2020-04-22,5.923071528751754
478,2020-04-23,5.923071528751754
479,2020-04-24,0.0
480,2020-04-25,0.0
481,2020-04-26,5.7
482,2020-04-27,0.0
483,2020-04-28,1.0
484,2020-04-29,5.923071528751754
485,2020-04-30,3.9
486,2020-05-01,5.923071528751754
487,2020-05-02,0.0
488,2020-05-03,2.7
489,2020-05-04,1.0
490,2020-05-05,0.0
491,2020-05-06,0.0
492,2020-05-07,5.923071528751754
493,2020-05-08,5.923071528751754
494,2020-05-09,5.923071528751754
495,2020-05-10,15.2
496,2020-05-11,3.0
497,2020-05-12,4.0
498,2020-05-13,0.0
499,2020-05-14,0.0
500,2020-05-15,0.0
501,2020-05-16,0.0
502,2020-05-17,5.923071528751754
503,2020-05-18,0.0
504,2020-05-19,0.3
505,2020-05-20,4.0
506,2020-05-21,14.7
507,2020-05-22,6.3
508,2020-05-23,6.0
509,2020-05-24,5.923071528751754
510,2020-05-25,5.923071528751754
511,2020-05-26,4.0
512,2020-05-27,12.2
513,2020-05-28,5.923071528751754
514,2020-05-29,17.7
515,2020-05-30,0.0
516,2020-05-31,0.0
517,2020-06-01,4.0
518,2020-06-02,5.923071528751754
519,2020-06-03,0.0
520,2020-06-04,5.923071528751754
521,2020-06-05,5.923071528751754
522,2020-06-06,0.0
523,2020-06-07,0.0
524,2020-06-08,0.0
525,2020-06-09,5.923071528751754
526,2020-06-10,5.923071528751754
527,2020-06-11,0.0
528,2020-06-12,0.0
529,2020-06-13,5.923071528751754
530,2020-06-14,23.3
531,2020-06-15,3.4
532,2020-06-16,0.8
533,2020-06-17,5.923071528751754
534,2020-06-18,5.923071528751754
535,2020-06-19,0.0
536,2020-06-20,0.0
537,2020-06-21,5.923071528751754
538,2020-06-22,0.0
539,2020-06-23,0.0
540,2020-06-24,0.0
541,2020-06-25,5.923071528751754
542,2020-06-26,5.923071528751754
543,2020-06-27,0.0
544,2020-06-28,0.0
545,2020-06-29,5.923071528751754
546,2020-06-30,0.0
547,2020-07-01,0.0
548,2020-07-02,0.0
549,2020-07-03,5.923071528751754
550,2020-07-04,5.923071528751754
551,2020-07-05,0.0
552,2020-07-06,0.5
553,2020-07-07,4.0
554,2020-07-08,0.0
555,2020-07-09,0.0
556,2020-07-10,5.923071528751754
557,2020-07-11,5.923071528751754
558,2020-07-12,5.923071528751754
559,2020-07-13,0.0
560,2020-07-14,0.0
561,2020-07-15,5.923071528751754
562,2020-07-16,17.2
563,2020-07-17,0.0
564,2020-07-18,0.0
565,2020-07-19,5.923071528751754
566,2020-07-20,5.923071528751754
567,2020-07-21,0.0
568,2020-07-22,0.0
569,2020-07-23,5.923071528751754
570,2020-07-24,0.0
571,2020-07-25,5.923071528751754
572,2020-07-26,0.0
573,2020-07-27,0.0
574,2020-07-28,5.923071528751754
575,2020-07-29,0.0
576,2020-07-30,0.0
577,2020-07-31,5.923071528751754
578,2020-08-01,0.0
579,2020-08-02,0.0
580,2020-08-03,0.0
581,2020-08-04,5.923071528751754
582,2020-08-05,5.923071528751754
583,2020-08-06,5.923071528751754
584,2020-08-07,0.0
585,2020-08-08,0.0
586,2020-08-09,5.923071528751754
587,2020-08-10,0.0
588,2020-08-11,0.0
589,2020-08-12,13.0
590,2020-08-13,5.923071528751754
591,2020-08-14,1.0
592,2020-08-15,0.0
593,2020-08-16,5.923071528751754
594,2020-08-17,0.0
595,2020-08-18,0.0
596,2020-08-19,0.0
597,2020-08-20,5.923071528751754
598,2020-08-21,5.923071528751754
599,2020-08-22,0.0
600,2020-08-23,0.0
601,2020-08-24,5.923071528751754
602,2020-08-25,0.0
603,2020-08-26,0.0
604,2020-08-27,0.0
605,2020-08-28,5.923071528751754
606,2020-08-29,5.923071528751754
607,2020-08-30,0.0
608,2020-08-31,0.0
609,2020-09-01,5.923071528751754
610,2020-09-02,0.0
611,2020-09-03,0.0
612,2020-09-04,0.0
613,2020-09-05,5.923071528751754
614,2020-09-06,5.923071528751754
615,2020-09-07,5.923071528751754
616,2020-09-08,0.0
617,2020-09-09,5.923071528751754
618,2020-09-10,0.0
619,2020-09-11,0.0
620,2020-09-12,0.0
621,2020-09-13,5.923071528751754
622,2020-09-14,5.923071528751754
623,2020-09-15,5.923071528751754
624,2020-09-16,5.923071528751754
625,2020-09-17,5.923071528751754
626,2020-09-18,5.923071528751754
627,2020-09-19,5.923071528751754
628,2020-09-20,5.923071528751754
629,2020-09-21,5.923071528751754
630,2020-09-22,5.923071528751754
631,2020-09-23,5.923071528751754
632,2020-09-24,5.923071528751754
633,2020-09-25,5.923071528751754
634,2020-09-26,5.923071528751754
635,2020-09-27,5.923071528751754
636,2020-09-28,0.0
637,2020-09-29,5.923071528751754
638,2020-09-30,5.923071528751754
639,2020-10-01,0.0
640,2020-10-02,0.0
641,2020-10-03,5.923071528751754
642,2020-10-04,0.0
643,2020-10-05,0.0
644,2020-10-06,0.0
645,2020-10-07,5.923071528751754
646,2020-10-08,0.0
647,2020-10-09,0.0
648,2020-10-10,0.0
649,2020-10-11,4.0
650,2020-10-12,0.0
651,2020-10-13,5.923071528751754
652,2020-10-14,0.0
653,2020-10-15,5.923071528751754
654,2020-10-16,5.923071528751754
655,2020-10-17,0.0
656,2020-10-18,0.0
657,2020-10-19,5.923071528751754
658,2020-10-20,10.0
659,2020-10-21,0.0
660,2020-10-22,0.0
661,2020-10-23,2.5
662,2020-10-24,0.7
663,2020-10-25,16.6
664,2020-10-26,30.5
665,2020-10-27,1.0
666,2020-10-28,2.7
