,RR
1210,0.2
1211,0.0
1212,0.0
1213,9.5
1214,6.4
1216,6.7
1217,0.0
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,6.4
1224,22.0
1226,1.0
1227,0.0
1228,0.0
1229,50.7
1230,5.0
1231,0.0
1233,2.0
1234,3.6
1235,1.6
1236,19.3
1237,0.0
1238,0.0
1239,0.0
1240,0.0
1241,2.0
1242,9.0
1243,0.4
1245,0.0
1246,0.0
1247,8.5
1248,2.0
1249,0.0
1252,13.0
1253,0.6
1254,0.0
1255,4.1
1256,4.1
1257,0.0
1259,6.3
1260,7.3
1261,8.2
1262,2.8
1263,1.2
1264,0.2
1265,0.0
1266,16.3
1267,0.0
1268,0.0
1269,0.0
1271,0.0
1272,0.0
1273,13.3
1276,0.0
1277,0.0
1278,0.0
1280,0.0
1281,15.5
1282,2.5
1284,0.0
1286,0.0
1287,0.0
1290,3.5
1291,0.4
1292,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1300,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,0.0
1308,0.0
1309,0.0
1310,0.6
1311,0.0
1313,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.5
1322,0.4
1326,0.0
1327,0.0
1328,0.0
1329,0.0
1331,0.0
1332,0.0
1334,0.0
1335,0.0
1336,0.0
1337,0.0
1340,0.0
1343,0.0
1344,0.0
1345,3.0
1347,0.4
1348,0.0
1350,0.0
1351,0.0
1352,0.0
1353,0.0
1354,0.0
1357,0.0
1358,0.0
1359,0.0
1360,0.0
1361,0.0
1364,0.0
1366,0.0
1367,0.0
1369,36.0
1370,5.5
1371,22.4
1372,50.4
1374,0.0
1375,0.0
1376,0.0
1378,9.6
1380,0.0
1382,0.5
1383,47.5
1384,0.6
1385,0.0
1386,31.6
1387,22.0
1388,15.0
1389,1.1
1390,30.0
1391,0.0
1392,7.8
1393,27.3
1394,35.0
1395,7.8
1396,0.0
1398,0.0
1399,0.0
1400,15.7
1401,0.0
1402,27.6
1403,2.9
1404,0.0
1405,0.0
1406,0.0
1407,3.5
1408,48.8
1409,1.4
1411,0.0
1412,1.5
1413,2.8
1414,22.5
1416,0.0
1417,2.5
1418,76.7
1419,4.6
1420,32.0
1421,0.5
1422,1.0
1423,0.0
1424,24.3
1425,0.0
1426,0.5
1427,0.8
1428,18.7
1429,13.8
1430,23.3
1431,0.0
1432,0.0
1433,0.0
1434,2.6
1435,9.7
1436,2.8
1438,0.0
1439,80.0
1440,4.4
1441,0.0
1443,0.0
1445,2.0
1446,24.0
1447,6.2
1448,10.0
1449,20.1
1450,3.2
1451,11.1
1453,4.6
1454,0.8
1455,0.0
1456,2.7
1457,0.0
1458,8.0
1460,10.8
1461,25.2
1462,0.0
1466,0.0
1468,9.5
1469,21.3
1470,8.5
1471,1.0
1472,9.1
1473,1.0
1475,0.0
1476,0.0
1477,10.9
1478,1.3
1479,6.5
1480,0.3
1481,0.0
1482,16.6
1483,25.5
1484,0.0
1485,2.0
1486,23.0
1487,0.9
1488,6.1
1489,11.5
1490,3.8
1492,13.2
1493,1.0
1494,4.9
1496,4.0
1497,0.0
1498,7.0
1499,4.5
1500,3.0
1501,33.6
1503,1.7
1504,3.6
1505,14.7
1506,17.8
1507,23.8
1508,19.8
1509,1.4
1510,65.8
1511,15.0
1512,9.5
1513,56.2
1515,3.8
1516,0.0
1517,3.0
1518,0.1
1519,6.8
1520,7.6
1521,2.0
1522,13.7
1523,0.0
1524,0.0
1525,45.2
1526,0.2
1527,0.0
1528,10.0
1529,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.2
1535,3.0
1536,0.1
1537,0.0
1539,5.5
1540,14.3
1541,2.0
1542,0.0
1543,0.0
1544,4.0
1545,0.0
1546,0.0
1547,0.0
1549,25.2
1550,7.4
1551,12.4
1552,0.1
1553,6.9
1555,0.0
1556,0.0
1557,30.0
1558,0.0
1559,33.5
1560,11.1
1561,3.0
1562,5.4
1563,15.5
1564,0.0
